"ID","MSPINDLE","MSP_DUR","MSP_F","MSP_FL","MSP_FU","MSP_SIZE","MSP_START","MSP_STAT","MSP_STOP"
"study_001","124",1.015000001,10.5880906333376,10.15625,10.9375,2,8285.365,1.20958436828928,8286.38
"study_002","124",1.320000001,12.5,12.5,12.5,3,4768.415,3.28150509159372,4769.735
"study_001","125",0.480000001,9.375,9.375,9.375,1,8298.475,1.31173038592025,8298.955
"study_002","125",1.905000001,9.72134391821185,9.375,10.15625,2,4768.825,1.93113090405215,4770.73
"study_001","126",1.305000001,10.15625,10.15625,10.15625,2,8312.795,0.94937460454553,8314.1
"study_002","126",0.480000001,15.625,15.625,15.625,2,4769.19,11.0748717945331,4769.67
"study_001","127",1.060000001,9.375,9.375,9.375,2,8320.67,1.11857979734741,8321.73
"study_002","127",0.415000001,17.1875,17.1875,17.1875,1,4771.55,1.73561731182364,4771.965
"study_001","128",0.775000001,9.375,9.375,9.375,1,8324.23,0.982265923347164,8325.005
"study_002","128",0.780000001,16.7728624845279,16.40625,17.1875,2,4772.7,1.93982982725552,4773.48
"study_001","129",0.500000001,9.375,9.375,9.375,1,8329.8,1.13745053322163,8330.3
"study_002","129",2.330000001,11.7610786889487,10.15625,14.0625,5,4772.705,1.4327218983426,4775.035
"study_001","13",1.300000001,10.4904397726328,10.15625,10.9375,3,7157.505,1.5150646630847,7158.805
"study_002","13",1.055000001,15.2303339646072,14.84375,15.625,2,1946.68,1.97723946482992,1947.735
"study_001","130",0.590000001,9.375,9.375,9.375,1,8335.925,1.05735854716731,8336.515
"study_002","130",0.475000001,15.625,15.625,15.625,2,4774.835,1.34057611124873,4775.31
"study_001","131",0.685000001,10.9375,10.9375,10.9375,1,8336.88,1.18448517459868,8337.565
"study_002","131",0.830000001,13.7294007078171,13.28125,14.0625,4,4777.18,4.77480889462772,4778.01
"study_001","132",1.045000001,10.15625,10.15625,10.15625,2,8362.795,1.0533761645632,8363.84
"study_002","132",0.750000001,16.40625,16.40625,16.40625,1,4777.26,4.92726862957975,4778.01
"study_001","133",0.480000001,9.375,9.375,9.375,1,8368.29,1.30732612174618,8368.77
"study_002","133",4.925000001,13.4436822128617,12.5,15.625,10,4779.765,1.90780027565369,4784.69
"study_001","134",0.515000001,10.1151982646738,9.375,10.9375,2,8383.775,1.65680935317883,8384.29
"study_002","134",1.480000001,15.4342785471357,15.234375,15.625,2,4781.96,1.52300367627207,4783.44
"study_001","135",0.875000001,9.70026075039263,9.375,10.15625,2,8389.71,1.579226712166,8390.585
"study_002","135",0.650000001,16.6947956563368,15.625,17.1875,2,4784.555,2.40480296094359,4785.205
"study_001","136",0.510000001,9.375,9.375,9.375,1,8392.945,1.85302950390139,8393.455
"study_002","136",0.815000001,12.5,12.5,12.5,3,4785.25,2.54453828986009,4786.065
"study_001","137",0.665000001,10.5540217115366,10.15625,10.9375,2,8395.485,1.35796337282944,8396.15
"study_002","137",1.050000001,12.7139222723674,10.9375,14.0625,4,4786.97,1.5806158306191,4788.02
"study_001","138",2.535000001,9.96281018376642,9.765625,10.15625,2,8400.75,1.21415671715246,8403.285
"study_002","138",2.035000001,11.84685786811,9.375,13.28125,5,4789.365,1.87663747966615,4791.4
"study_001","139",0.585000001,9.375,9.375,9.375,1,8411.09,1.31629218068685,8411.675
"study_002","139",3.490000001,14.4416718826639,13.671875,15.4296875,5,4790.585,3.16563427840729,4794.075
"study_001","14",0.550000001,9.375,9.375,9.375,1,7199.04,1.34376773455752,7199.59
"study_002","14",1.460000001,14.6529595912264,14.0625,14.84375,4,1948.25,1.89098840437032,1949.71
"study_001","140",1.685000001,10.3907256122986,10.15625,10.9375,3,8416.01,1.32786015632013,8417.695
"study_002","140",0.775000001,16.40625,16.40625,16.40625,1,4794.47,1.96069919490581,4795.245
"study_001","141",0.870000001,9.375,9.375,9.375,1,8419.16,1.2424037747601,8420.03
"study_002","141",0.835000001,14.0625,14.0625,14.0625,2,4795.845,1.37927431447216,4796.68
"study_001","142",1.940000001,10.5896978224456,10.15625,10.9375,4,8433.505,1.94915922015319,8435.445
"study_002","142",0.425000001,10.9375,10.9375,10.9375,1,4797.97,1.7880476080828,4798.395
"study_001","143",0.830000001,10.6775540811618,10.15625,10.9375,3,8436.245,1.7401550495804,8437.075
"study_002","143",3.130000001,14.6651749164567,14.0625,16.015625,6,4799.25,2.1887745152167,4802.38
"study_001","144",2.660000001,10.0518096258679,9.9609375,10.15625,2,8437.92,1.00910188499128,8440.58
"study_002","144",1.090000001,16.047485016955,15.625,16.40625,2,4807.465,1.86569483679954,4808.555
"study_001","145",0.465000001,10.1324012050902,9.375,10.9375,2,8441.425,1.77032512552416,8441.89
"study_002","145",3.850000001,14.5890540373604,13.28125,15.625,6,4810.455,2.52952545776307,4814.305
"study_001","146",0.980000001,10.6020573635329,10.15625,10.9375,2,8448.035,1.79858012023142,8449.015
"study_002","146",0.455000001,9.375,9.375,9.375,1,4813.82,1.80429517404751,4814.275
"study_001","147",1.270000001,9.375,9.375,9.375,1,8456.37,1.06252767597264,8457.64
"study_002","147",0.400000001,15.625,15.625,15.625,1,4816.35,1.55896176563731,4816.75
"study_001","148",0.895000001,10.15625,10.15625,10.15625,2,8468.335,1.1465704291676,8469.23
"study_002","148",0.830000001,12.5,12.5,12.5,1,4816.51,1.16033948384169,4817.34
"study_001","149",1.050000001,9.375,9.375,9.375,1,8474.225,1.50321477142092,8475.275
"study_002","149",0.435000001,15.625,15.625,15.625,1,4824.39,1.24060300394984,4824.825
"study_001","15",0.545000001,14.0625,14.0625,14.0625,4,7199.51,1.52744858319911,7200.055
"study_002","15",0.570000001,15.625,15.625,15.625,2,4442.27,1.57010685241662,4442.84
"study_001","150",0.500000001,9.375,9.375,9.375,1,8495.05,1.55747630327599,8495.55
"study_002","150",0.680000001,16.40625,16.40625,16.40625,1,4827.37,1.10107486718337,4828.05
"study_001","151",1.380000001,10.1266177725678,9.375,10.9375,2,8499.795,1.18750120207726,8501.175
"study_002","151",1.575000001,14.2119665427994,13.28125,14.84375,5,4829.65,4.74601816415452,4831.225
"study_001","152",0.760000001,10.15625,10.15625,10.15625,1,8516.655,1.1023748082391,8517.415
"study_002","152",0.745000001,15.625,15.625,15.625,2,4835.26,1.10172652082375,4836.005
"study_001","153",1.145000001,10.15625,10.15625,10.15625,2,8561.615,1.3775802027532,8562.76
"study_002","153",1.850000001,10.5679206025974,9.375,12.109375,3,4838.16,2.87332230813636,4840.01
"study_001","154",0.985000001,9.375,9.375,9.375,1,8568.745,1.17069962336808,8569.73
"study_002","154",1.820000001,15.9098417214623,15.625,16.015625,3,4838.185,3.19799921907883,4840.005
"study_001","155",0.580000001,9.375,9.375,9.375,1,8573.585,1.0036029633982,8574.165
"study_002","155",0.640000001,9.375,9.375,9.375,1,4839.495,1.52449724298169,4840.135
"study_001","156",0.620000001,9.375,9.375,9.375,1,8578.96,1.31368857082565,8579.58
"study_002","156",4.850000001,14.0572640545704,10.9375,17.1875,11,4840.985,4.4765453633835,4845.835
"study_001","157",0.705000001,9.375,9.375,9.375,1,8584.465,1.29248437933925,8585.17
"study_002","157",1.945000001,9.81669385261029,9.375,10.9375,3,4847.295,1.81526354578089,4849.24
"study_001","158",1.690000001,9.375,9.375,9.375,1,8601.21,1.17650607996471,8602.9
"study_002","158",2.940000001,14.2411521260635,12.5,15.0390625,6,4847.335,3.26310844654039,4850.275
"study_001","159",1.295000001,10.15625,10.15625,10.15625,2,8615.77,1.18801840571876,8617.065
"study_002","159",0.990000001,14.0625,14.0625,14.0625,3,4853.13,1.59216791168221,4854.12
"study_001","16",2.440000001,12.2270559074843,11.71875,13.28125,5,7229.165,1.63126582758259,7231.605
"study_002","16",1.730000001,15.3019771951355,14.84375,16.015625,3,4444.68,4.99554180012668,4446.41
"study_001","160",0.535000001,10.139551292811,9.375,10.9375,2,8619.53,1.2743520398596,8620.065
"study_002","160",0.955000001,16.40625,16.40625,16.40625,1,4861.4,2.61891173357911,4862.355
"study_001","161",1.240000001,9.74153587966008,9.375,10.15625,2,8627.62,1.51730657764,8628.86
"study_002","161",1.100000001,12.0895704084934,10.9375,12.5,4,4861.735,2.59415091588142,4862.835
"study_001","162",0.730000001,10.1571123683856,9.375,10.9375,2,8638.845,1.47062765689373,8639.575
"study_002","162",0.990000001,17.1875,17.1875,17.1875,1,4863.21,1.73743182946594,4864.2
"study_001","163",1.185000001,10.5856453758553,10.15625,10.9375,2,8643.375,1.19157531354591,8644.56
"study_002","163",0.945000001,14.0625,14.0625,14.0625,2,4863.26,1.39293038165193,4864.205
"study_001","164",0.780000001,10.9375,10.9375,10.9375,1,8646.63,1.1891159793803,8647.41
"study_002","164",0.760000001,12.5,12.5,12.5,3,4866.725,1.81423083238607,4867.485
"study_001","165",0.850000001,9.77100315166526,9.375,10.15625,2,8649.945,1.60155824300506,8650.795
"study_002","165",2.440000001,10.7692874884166,9.765625,12.5,3,4868.405,1.65067485241543,4870.845
"study_001","166",0.820000001,9.78802176775602,9.375,10.15625,2,8651.99,1.74768997239626,8652.81
"study_002","166",0.420000001,17.1875,17.1875,17.1875,1,4868.44,1.75495608007484,4868.86
"study_001","167",1.040000001,10.5855696269648,10.15625,10.9375,2,8654.59,1.3512757073292,8655.63
"study_002","167",1.315000001,15.1223387906683,14.84375,15.625,3,4869.37,2.35950851809892,4870.685
"study_001","168",1.995000001,10.15625,10.15625,10.15625,2,8656.935,1.16392591762815,8658.93
"study_002","168",0.645000001,14.0625,14.0625,14.0625,2,4871.45,1.46718537649326,4872.095
"study_001","169",0.540000001,9.375,9.375,9.375,2,8662.19,1.48787928846496,8662.73
"study_002","169",0.600000001,10.0879592208936,9.375,10.9375,2,4871.485,3.2771867996685,4872.085
"study_001","17",0.610000001,15.625,15.625,15.625,1,7254.84,1.07334898355839,7255.45
"study_002","17",1.075000001,10.15625,10.15625,10.15625,2,4444.765,1.5413513268148,4445.84
"study_001","170",0.665000001,10.6810181337919,10.15625,10.9375,3,8684.24,1.46711077728532,8684.905
"study_002","170",1.200000001,14.4044540049434,14.0625,14.84375,2,4872.675,2.79661217183644,4873.875
"study_001","171",1.740000001,9.765625,9.765625,9.765625,1,8735.41,1.05895730111647,8737.15
"study_002","171",0.530000001,10.1253140229601,9.375,10.9375,2,4872.755,2.26504876476527,4873.285
"study_001","172",0.590000001,9.375,9.375,9.375,1,8742.18,1.06765848660402,8742.77
"study_002","172",0.665000001,17.1875,17.1875,17.1875,1,4873.4,3.65282720895962,4874.065
"study_001","173",1.175000001,10.0181034477363,9.375,10.9375,2,8755.71,1.26532988754773,8756.885
"study_002","173",1.130000001,11.5609066454237,10.9375,11.71875,4,4877.04,2.28233427385576,4878.17
"study_001","174",0.780000001,10.15625,10.15625,10.15625,2,8759.955,1.10552213315584,8760.735
"study_002","174",3.380000001,14.7397518132396,14.0625,15.625,4,4878.595,4.80324317553002,4881.975
"study_001","175",0.495000001,9.375,9.375,9.375,1,8767.235,1.20749254657367,8767.73
"study_002","175",3.265000001,10.4269002183928,9.5703125,10.9375,3,4878.68,2.30499616333885,4881.945
"study_001","176",3.260000001,11.5007360572855,9.375,12.5,6,8769.02,3.58177384115939,8772.28
"study_002","176",2.160000001,14.9047664990138,13.28125,15.234375,3,4882.57,8.18294956612377,4884.73
"study_001","177",0.580000001,15.625,15.625,15.625,2,8769.365,1.51396128422113,8769.945
"study_002","177",1.035000001,8.59375,8.59375,8.59375,1,4882.79,2.50013921772996,4883.825
"study_001","178",1.545000001,15.2192127392704,14.84375,15.625,2,8770.895,2.44540517903001,8772.44
"study_002","178",0.495000001,10.9375,10.9375,10.9375,1,4883.865,1.30768099085243,4884.36
"study_001","179",0.765000001,8.59375,8.59375,8.59375,1,8771.155,4.53374010048928,8771.92
"study_002","179",3.420000001,14.453125,14.453125,14.453125,2,4885.38,7.67506144003773,4888.8
"study_001","18",0.605000001,12.0892649826721,10.9375,12.5,3,7296.675,1.74284188330137,7297.28
"study_002","18",0.385000001,12.5,12.5,12.5,2,4445.46,4.7934471202082,4445.845
"study_001","180",0.540000001,10.9375,10.9375,10.9375,2,8773.115,1.4339596392005,8773.655
"study_002","180",3.355000001,16.796875,16.796875,16.796875,1,4885.39,9.48061529744122,4888.745
"study_001","181",0.460000001,15.0393666497152,14.0625,15.625,4,8784.41,3.65511543783945,8784.87
"study_002","181",4.435000001,10.1280841652431,9.765625,10.546875,3,4885.485,2.18875987001939,4889.92
"study_001","182",0.475000001,9.375,9.375,9.375,1,8784.425,1.98423817764329,8784.9
"study_002","182",2.960000001,13.2903985072278,12.5,14.453125,7,4889.385,2.04069265821439,4892.345
"study_001","183",0.430000001,14.0625,14.0625,14.0625,1,8920.85,1.81073885059691,8921.28
"study_002","183",2.660000001,14.3970379152136,13.28125,14.6484375,4,4892.945,4.30439177175866,4895.605
"study_001","184",0.575000001,10.9375,10.9375,10.9375,1,8931.145,1.74042452409702,8931.72
"study_002","184",1.610000001,13.6137454250054,12.5,14.84375,4,4896.14,2.18605867344222,4897.75
"study_001","185",1.210000001,10.9375,10.9375,10.9375,2,8933.915,1.4081020704144,8935.125
"study_002","185",0.680000001,10.0018686409782,9.375,10.9375,2,4901.33,2.92710333109415,4902.01
"study_001","186",0.625000001,9.375,9.375,9.375,1,8976.315,1.13166605072129,8976.94
"study_002","186",0.495000001,15.0622451926048,14.0625,15.625,4,4904.945,2.8892559050125,4905.44
"study_001","187",1.545000001,11.8913633658352,11.71875,12.5,4,8977.415,1.62864789328738,8978.96
"study_002","187",1.030000001,11.6037849278084,10.9375,11.71875,5,4916.575,4.69955118527297,4917.605
"study_001","188",0.420000001,9.375,9.375,9.375,1,8977.57,2.80286182087876,8977.99
"study_002","188",0.965000001,17.1875,17.1875,17.1875,1,4916.655,3.07807221182267,4917.62
"study_001","189",0.815000001,12.5,12.5,12.5,2,8980.62,1.30610931924734,8981.435
"study_002","189",0.915000001,14.84375,14.84375,14.84375,1,4916.71,3.42829848777683,4917.625
"study_001","19",0.985000001,9.88328894344658,9.375,10.9375,2,7299.66,6.16061931361748,7300.645
