"ID","CH","E","DOWN_AMP","DUR","N","P2P_AMP","SLOPE_NEG1","SLOPE_NEG2","SLOPE_POS1","SLOPE_POS2","UP_AMP"
"study_002","C4M1",209,-54.4143876599752,1.455,2,84.7193277642862,-282.230719996789,281.542281252389,194.243448844815,-53.2869778397641,30.304940104311
"study_001","C4M1",210,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",210,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",211,-42.0508932772914,1.19166666666667,3,77.8031932783874,-284.505579543124,297.406133446105,226.557862946355,-168.374117714674,35.752300001096
"study_002","C4M1",212,-47.4992408435535,1.3375,2,81.330462402363,-236.23866380525,299.593632025244,141.15091653156,-124.040698034373,33.8312215588095
"study_002","C4M1",213,-58.0575156634742,1.12,1,83.2846759502425,-446.596270899061,464.460121592113,265.54905285494,-32.7625457844231,25.2271602867683
"study_002","C4M1",214,-115.497637235386,1.788,5,248.018403300844,-390.497323260759,273.9330212497,380.413714498084,-483.569348722325,132.520766065457
"study_002","C4M1",215,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",216,-96.6243013153033,1.59875,4,202.817540514281,-415.739142473974,276.90382119028,315.908326156749,-503.179675585985,106.193239198978
"study_002","C4M1",217,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",218,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",219,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",220,-41.499414436149,1.455,1,78.9484510768368,-86.4571132285248,224.321157901772,82.3055748535873,-111.788168742984,37.4490366406878
"study_002","C4M1",221,-53.5829961498665,0.69,1,83.5678987515637,-535.829956140365,157.597047036087,260.73828122573,-222.110387996939,29.9849026016972
"study_002","C4M1",222,-42.9080569804923,1.1275,2,77.9007185361865,-316.169765108046,284.271047107572,283.205135201558,-250.829061046652,34.9926615556942
"study_002","C4M1",223,-52.1043619189598,1.165,3,90.7493445964278,-335.203917018554,302.219142620448,215.792690349475,-150.823557704972,38.644982677468
"study_002","C4M1",224,-50.9765569551152,1.55,2,100.291459947132,-129.370345699529,142.661117342777,127.911319534608,-119.276993457654,49.3149029920173
"study_002","C4M1",225,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",226,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",227,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",228,-38.3896455579678,1.39,1,74.0135901868609,-99.7133648266349,284.367742767408,77.443357720543,-86.8876696146475,35.6239446288931
"study_002","C4M1",229,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",230,-215.309875648611,1.17875,4,432.434488675355,-1335.76219133117,539.381025694375,1329.41182671427,-1187.95090107373,217.124613026743
"study_002","C4M1",231,-77.1117472479267,1.33166666666667,3,140.113350471408,-348.064624701741,415.435515801257,325.552327114214,-230.706829753718,63.0016032234809
"study_002","C4M1",232,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",233,-51.5061003394218,1.49,1,72.6451340622421,-87.2984750035988,396.200768794008,62.1736284136668,-49.1605434271158,21.1390337228203
"study_002","C4M1",234,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",235,-44.2598362751817,0.96,1,75.9785810628277,-295.065573200774,268.241430345093,59.846688165659,-275.815169668094,31.7187447876459
"study_002","C4M1",235,-44.2598362751817,0.96,1,75.9785810628277,-295.065573200774,268.241430345093,59.846688165659,-275.815169668094,31.7187447876459
"study_001","C4M1",236,-46.5130508376039,0.825,3,88.0162280063194,-326.704063783937,390.484370027019,211.209680718019,-207.405377682228,41.5031771687155
"study_002","C4M1",236,-46.5130508376039,0.825,3,88.0162280063194,-326.704063783937,390.484370027019,211.209680718019,-207.405377682228,41.5031771687155
"study_001","C4M1",237,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",237,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",238,-79.333070891646,1.205,1,116.253686184991,-528.887135751726,344.926393681389,134.256782396684,-67.1283913203938,36.920615293345
"study_002","C4M1",238,-79.333070891646,1.205,1,116.253686184991,-528.887135751726,344.926393681389,134.256782396684,-67.1283913203938,36.920615293345
"study_001","C4M1",239,-49.2936446845278,0.76,3,90.333881898966,-329.857149969893,389.973973638057,368.080303052987,-311.530783135797,41.0402372144382
"study_002","C4M1",239,-49.2936446845278,0.76,3,90.333881898966,-329.857149969893,389.973973638057,368.080303052987,-311.530783135797,41.0402372144382
"study_001","C4M1",240,-47.4266971758435,0.795,1,88.7476322216892,-451.682825944388,133.596329696471,223.356404445888,-275.472898469151,41.3209350458456
"study_002","C4M1",240,-47.4266971758435,0.795,1,88.7476322216892,-451.682825944388,133.596329696471,223.356404445888,-275.472898469151,41.3209350458456
"study_001","C4M1",241,-77.2252664537143,1.36,1,151.459775727117,-200.585107150985,234.01595824151,265.123246458141,-203.382216630193,74.2345092734028
"study_002","C4M1",241,-77.2252664537143,1.36,1,151.459775727117,-200.585107150985,234.01595824151,265.123246458141,-203.382216630193,74.2345092734028
"study_001","C4M1",242,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",242,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",243,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",243,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",244,-102.511550235381,0.971363636363636,11,190.82054110383,-546.711571832326,452.886436330935,462.034663188212,-489.340453487558,88.3089908684491
"study_002","C4M1",244,-102.511550235381,0.971363636363636,11,190.82054110383,-546.711571832326,452.886436330935,462.034663188212,-489.340453487558,88.3089908684491
"study_001","C4M1",245,-53.5934374161074,0.915,1,74.9129181687431,-382.810264523551,306.248212056338,47.9089454038802,-137.545036226391,21.3194807526356
"study_002","C4M1",245,-53.5934374161074,0.915,1,74.9129181687431,-382.810264523551,306.248212056338,47.9089454038802,-137.545036226391,21.3194807526356
"study_001","C4M1",246,-49.56398168738,0.74,1,85.3763737732001,-275.355452289025,170.910281091275,286.499134394568,-246.982012681642,35.8123920858201
"study_002","C4M1",246,-49.56398168738,0.74,1,85.3763737732001,-275.355452289025,170.910281091275,286.499134394568,-246.982012681642,35.8123920858201
"study_001","C4M1",247,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",247,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",248,-40.7521538061101,1.08,1,78.9640089727575,-145.543405930595,291.086810821595,125.284770627418,-107.639028335235,38.2118551666474
"study_002","C4M1",248,-40.7521538061101,1.08,1,78.9640089727575,-145.543405930595,291.086810821595,125.284770627418,-107.639028335235,38.2118551666474
"study_001","C4M1",249,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",249,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",250,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",250,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",251,-38.6095742894264,1.9,1,79.7595485110973,-64.8900407135064,167.867713571994,64.8031089084533,-93.5226684730642,41.1499742216709
"study_002","C4M1",251,-38.6095742894264,1.9,1,79.7595485110973,-64.8900407135064,167.867713571994,64.8031089084533,-93.5226684730642,41.1499742216709
"study_001","C4M1",252,-40.0180065028135,0.97125,4,79.1833293034561,-155.680623941085,344.321134073054,320.73503240455,-204.91597933663,39.1653228006426
"study_002","C4M1",252,-40.0180065028135,0.97125,4,79.1833293034561,-155.680623941085,344.321134073054,320.73503240455,-204.91597933663,39.1653228006426
"study_001","C4M1",253,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",253,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",254,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",254,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",255,-52.3158253916673,1.17333333333333,3,93.3418770405652,-302.806594447045,231.694897059624,218.307284133319,-269.467651517269,41.0260516488978
"study_002","C4M1",255,-52.3158253916673,1.17333333333333,3,93.3418770405652,-302.806594447045,231.694897059624,218.307284133319,-269.467651517269,41.0260516488978
"study_001","C4M1",256,-49.7585501217219,1.134,5,101.303921985652,-239.628678648829,248.543001336776,265.939458369454,-256.802435658096,51.5453718639302
"study_002","C4M1",256,-49.7585501217219,1.134,5,101.303921985652,-239.628678648829,248.543001336776,265.939458369454,-256.802435658096,51.5453718639302
"study_001","C4M1",257,-48.1052653482622,1.38,3,87.3365874699026,-175.361344805814,212.010513985603,122.547273324688,-185.648466384278,39.2313221216405
"study_002","C4M1",257,-48.1052653482622,1.38,3,87.3365874699026,-175.361344805814,212.010513985603,122.547273324688,-185.648466384278,39.2313221216405
"study_001","C4M1",258,-48.0836949839842,1.5005,10,98.3366216910996,-173.354787120227,164.587153977422,228.283602255243,-195.30073534576,50.2529267071153
"study_002","C4M1",258,-48.0836949839842,1.5005,10,98.3366216910996,-173.354787120227,164.587153977422,228.283602255243,-195.30073534576,50.2529267071153
"study_001","C4M1",259,-51.8841103011332,1.21,9,101.348363126068,-160.318222393611,295.08975497993,261.307958813603,-184.901633263558,49.4642528249353
"study_002","C4M1",259,-51.8841103011332,1.21,9,101.348363126068,-160.318222393611,295.08975497993,261.307958813603,-184.901633263558,49.4642528249353
"study_001","C4M1",260,-45.5307332410072,1.66375,8,90.7316681398146,-128.281309848464,194.237213781396,165.522901429629,-121.175340240323,45.2009348988073
"study_002","C4M1",260,-45.5307332410072,1.66375,8,90.7316681398146,-128.281309848464,194.237213781396,165.522901429629,-121.175340240323,45.2009348988073
"study_001","C4M1",261,-49.2242410596568,1.06375,4,92.5039897127157,-118.863204027186,293.720635328391,311.037101516121,-264.299203686588,43.2797486530588
"study_002","C4M1",261,-49.2242410596568,1.06375,4,92.5039897127157,-118.863204027186,293.720635328391,311.037101516121,-264.299203686588,43.2797486530588
"study_001","C4M1",262,-47.2148605920721,1.3525,8,82.8121924876654,-140.344643638316,192.747688963451,190.259848847661,-145.790414348074,35.5973318955934
"study_002","C4M1",262,-47.2148605920721,1.3525,8,82.8121924876654,-140.344643638316,192.747688963451,190.259848847661,-145.790414348074,35.5973318955934
"study_001","C4M1",263,-56.5226388115448,1.441,5,109.610068818791,-194.032969938431,137.728380660577,229.205718699305,-196.408964047881,53.0874300072467
"study_002","C4M1",263,-56.3534332660869,1.445,5,109.864885337235,-193.996685735588,137.826857254749,229.28113685964,-198.579981583327,53.5114520711483
"study_001","C4M1",264,-51.5470214134122,1.83444444444444,9,109.365993051897,-173.871665801253,117.272549664486,145.840578432995,-133.869026906781,57.8189716384853
"study_001","C4M1",265,-44.9751485516318,1.15125,4,77.5320700966514,-285.047263483142,200.44118318539,171.733476395666,-94.1248400157513,32.5569215450196
"study_001","C4M1",266,-55.1384074298,1.13333333333333,6,113.368580882167,-207.443135568142,241.047463681148,292.327198487169,-256.892110607143,58.2301734523674
"study_001","C4M1",267,-63.1341535565754,1.55227272727273,11,126.248937859273,-200.110474734539,209.652679833483,202.97376328273,-220.423035028631,63.1147843026979
"study_001","C4M1",268,-56.5042497996351,1.235,9,98.2802658635559,-199.325648328049,261.446072724378,213.011659683058,-178.183266362503,41.7760160639208
"study_001","C4M1",269,-51.621654956889,1.21785714285714,7,111.177344163466,-213.680835594587,184.747222824379,227.71480545311,-275.566160764587,59.5556892065772
"study_001","C4M1",270,-60.9868055943014,1.472,10,110.837392464973,-235.463312524468,238.490501177578,139.367218729542,-158.806573388494,49.850586870672
