"ID","EMASK","MASK_MODE","MATCH_LOGIC","MATCH_TYPE","N_MASK_SET","N_MASK_UNSET","N_MATCHES","N_RETAINED","N_TOTAL","N_UNCHANGED"
"study_001","N2,N3","force","OR","ifnot",585,0,553,553,1138,553
"study_002","N2,N3","force","OR","ifnot",629,0,509,509,1138,509
